Algorithm,Distance,Rotation,Energy Cost,Num Waypoints,Returned to Start
AS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
AS,1091.45458984375,1244.147705078125,148.56907653808594,32,False
AS,1091.45458984375,1244.147705078125,148.56907653808594,32,False
AS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
AS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
AS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
AS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
AS,1103.72314453125,1398.946533203125,152.67515563964844,32,True
AS,1091.45458984375,1244.147705078125,148.56907653808594,32,False
AS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
AS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
AS,1091.45458984375,1244.147705078125,148.56907653808594,32,False
AS,1091.45458984375,1244.147705078125,148.56907653808594,32,False
AS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
AS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
AS,1091.45458984375,1244.147705078125,148.56907653808594,32,False
AS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
AS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
AS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
AS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
MMAS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
MMAS,1091.45458984375,1244.147705078125,148.56907653808594,32,False
MMAS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
MMAS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
MMAS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
MMAS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
MMAS,1091.45458984375,1244.147705078125,148.56907653808594,32,False
MMAS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
MMAS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
MMAS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
MMAS,1048.124267578125,967.3115844726562,138.7361602783203,30,False
MMAS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
MMAS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
MMAS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
MMAS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
MMAS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
MMAS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
MMAS,1125.983154296875,1488.946533203125,156.82321166992188,33,True
MMAS,1091.45458984375,1244.147705078125,148.56907653808594,32,False
MMAS,1091.45458984375,1244.147705078125,148.56907653808594,32,False
